Event,Team,Driver,PitStopCount,AvgPitDuration,TotalPitDuration,MostFrequentCompound,AvgTyreLife,AvgLapTime,AvgPrevLapTime,AvgNextLapTime,PitStopLapTimeRatio
Bahrain,Alpine,ALO,2,24.573999999999998,49.147999999999996,HARD,11.666666666666666,100.90966666666668,97.204,116.822,0.24352473664564672
Bahrain,Mercedes,BOT,3,27.255666666666666,81.767,HARD,19.0,98.45466666666668,95.714,118.14533333333333,0.2768346853374141
Bahrain,AlphaTauri,GAS,3,29.206333333333333,87.619,HARD,14.5,106.312,97.05,122.57033333333334,0.2747228284044448
Bahrain,Alfa Romeo Racing,GIO,2,27.2835,54.567,HARD,15.0,100.191,97.376,120.862,0.27231487858190856
Bahrain,Mercedes,HAM,2,24.5355,49.071,HARD,15.5,98.37950000000001,96.2235,115.1,0.24939646979299546
Bahrain,Williams,LAT,2,24.9715,49.943,MEDIUM,17.0,103.64366666666666,102.29899999999999,119.12,0.24093609193036397
Bahrain,Ferrari,LEC,2,24.5785,49.157,MEDIUM,17.5,100.225,97.4185,116.0145,0.2452332252432028
Bahrain,Haas F1 Team,MSC,2,25.5895,51.179,MEDIUM,16.5,101.7885,99.16300000000001,120.7895,0.25139873364869314
Bahrain,McLaren,NOR,2,25.253,50.506,MEDIUM,18.0,99.85,96.88900000000001,117.1135,0.2529093640460691
Bahrain,Alpine,OCO,2,24.8525,49.705,MEDIUM,15.5,99.88550000000001,97.80449999999999,116.768,0.2488098873209825
Bahrain,Red Bull Racing,PER,3,23.825333333333333,71.476,HARD,19.333333333333332,113.06266666666666,114.02066666666667,122.83600000000001,0.21072679457999693
Bahrain,Alfa Romeo Racing,RAI,2,24.134,48.268,HARD,14.5,99.3725,97.15700000000001,116.8335,0.24286397142066468
Bahrain,McLaren,RIC,2,24.6725,49.345,MEDIUM,17.5,99.999,97.761,116.733,0.24672746727467276
Bahrain,Williams,RUS,2,24.436,48.872,MEDIUM,18.0,101.757,98.207,116.178,0.24014072741924386
Bahrain,Ferrari,SAI,2,24.391,48.782,MEDIUM,20.0,100.2355,97.15199999999999,115.838,0.24333694150276097
Bahrain,Aston Martin,STR,2,25.891,51.782,MEDIUM,15.5,100.1695,97.618,117.1765,0.2584718901462022
Bahrain,AlphaTauri,TSU,2,24.698999999999998,49.397999999999996,HARD,18.0,99.98400000000001,97.2885,116.44999999999999,0.24702952472395578
Bahrain,Red Bull Racing,VER,2,24.36,48.72,MEDIUM,21.0,98.4905,96.477,114.4845,0.24733349916997072
Bahrain,Aston Martin,VET,1,24.604,24.604,MEDIUM,24.0,101.508,98.631,116.594,0.24238483666312016
Saudi Arabia,Alpine,ALO,4,540.46525,2161.861,HARD,13.0,114.14,95.009,112.878,4.7351082004555805
Saudi Arabia,Mercedes,BOT,3,702.1419999999999,2106.426,HARD,8.333333333333334,127.44,93.701,,5.50958882611425
Saudi Arabia,AlphaTauri,GAS,2,1047.08,2094.16,HARD,11.0,,,,
Saudi Arabia,Alfa Romeo Racing,GIO,2,1049.6635,2099.327,HARD,10.5,,,,
Saudi Arabia,Mercedes,HAM,3,701.0616666666666,2103.185,HARD,9.0,122.043,93.15,,5.7443824444389815
Saudi Arabia,Williams,LAT,3,716.1673333333333,2148.502,MEDIUM,5.0,126.447,103.3,,5.6637748094722165
Saudi Arabia,Ferrari,LEC,3,705.0706666666666,2115.212,HARD,7.666666666666667,125.296,93.963,,5.627240028944791
Saudi Arabia,Haas F1 Team,MAZ,1,1018.989,1018.989,MEDIUM,13.0,,,,
Saudi Arabia,McLaren,NOR,3,718.1999999999999,2154.6,HARD,7.333333333333333,126.861,95.794,,5.661314351928488
Saudi Arabia,Alpine,OCO,2,1042.481,2084.962,HARD,11.0,,,,
Saudi Arabia,Red Bull Racing,PER,2,511.6445,1023.289,HARD,10.0,125.84,94.138,,4.065833598219962
Saudi Arabia,Alfa Romeo Racing,RAI,3,713.8820000000001,2141.646,HARD,9.333333333333334,111.33,95.026,139.182,6.412305757657416
Saudi Arabia,McLaren,RIC,2,1042.0905,2084.181,HARD,7.5,,,,
Saudi Arabia,Williams,RUS,2,520.928,1041.856,HARD,6.5,102.388,96.16,140.006,5.087783724655233
Saudi Arabia,Ferrari,SAI,2,1050.8139999999999,2101.6279999999997,HARD,9.0,,,,
Saudi Arabia,Aston Martin,STR,3,716.1806666666666,2148.542,HARD,7.0,102.354,95.907,147.675,6.997095049208303
Saudi Arabia,AlphaTauri,TSU,3,711.6033333333334,2134.81,MEDIUM,10.666666666666666,,93.928,121.649,
Saudi Arabia,Red Bull Racing,VER,2,1042.0525,2084.105,HARD,9.5,,,,
Saudi Arabia,Aston Martin,VET,2,1055.411,2110.822,MEDIUM,15.0,101.485,94.954,,10.399674828792433
Australia,Alpine,ALO,1,22.68,22.68,MEDIUM,32.0,74.052,70.734,87.323,0.30627126883811373
Australia,Mercedes,BOT,1,21.063,21.063,MEDIUM,33.0,73.539,69.692,86.602,0.28641945090360216
Australia,AlphaTauri,GAS,2,21.695,43.39,HARD,24.0,73.977,70.563,86.72300000000001,0.29326682617570327
Australia,Alfa Romeo Racing,GIO,2,22.5245,45.049,HARD,14.5,91.0115,70.897,106.84649999999999,0.24749070172450735
Australia,Mercedes,HAM,2,20.820999999999998,41.641999999999996,HARD,28.0,73.737,70.293,85.83250000000001,0.28236841748375985
Australia,Williams,LAT,1,20.83,20.83,MEDIUM,33.0,75.269,70.614,86.673,0.2767407564867342
Australia,Ferrari,LEC,1,21.135,21.135,MEDIUM,37.0,73.495,70.201,85.617,0.2875705830328594
Australia,Haas F1 Team,MAZ,2,22.6265,45.253,HARD,22.5,74.913,71.2295,90.60900000000001,0.3020370296210271
Australia,Haas F1 Team,MSC,1,21.814,21.814,MEDIUM,34.0,74.136,70.93,90.097,0.2942430128412647
Australia,McLaren,NOR,1,26.447,26.447,MEDIUM,33.0,73.463,69.957,91.546,0.3600043559342799
Australia,Red Bull Racing,PER,1,21.712,21.712,MEDIUM,35.0,73.971,70.023,85.499,0.2935204336834705
Australia,Alfa Romeo Racing,RAI,1,21.856,21.856,HARD,37.0,73.641,70.344,87.558,0.29679118969052565
Australia,McLaren,RIC,1,21.14,21.14,MEDIUM,29.0,73.401,70.021,85.889,0.2880069753818068
Australia,Williams,RUS,1,21.669,21.669,MEDIUM,33.0,73.41,70.566,86.784,0.2951777686963629
Australia,Ferrari,SAI,1,21.407,21.407,HARD,48.0,73.405,69.835,86.212,0.29162863565152236
Australia,Aston Martin,STR,2,21.177500000000002,42.355000000000004,HARD,24.5,74.486,70.6695,87.382,0.284315173321161
Australia,AlphaTauri,TSU,2,23.866500000000002,47.733000000000004,HARD,27.0,73.45249999999999,70.5195,90.0655,0.32492427078724356
Australia,Red Bull Racing,VER,2,21.228,42.456,HARD,31.5,72.428,68.868,85.2705,0.29309106975202964
Australia,Aston Martin,VET,2,20.637,41.274,HARD,24.333333333333332,74.0375,70.165,85.58500000000001,0.27873712645618776
Azerbaijan,Alpine,ALO,4,-27.6595,-110.638,SOFT,17.0,126.453,118.01766666666667,125.508,-0.2187334424647893
Azerbaijan,Mercedes,BOT,3,-40.922666666666665,-122.768,SOFT,18.666666666666668,125.1215,118.31666666666666,124.342,-0.3270634276816268
Azerbaijan,AlphaTauri,GAS,3,-45.48833333333334,-136.465,HARD,29.666666666666668,122.362,115.32966666666668,124.046,-0.3717521234806013
Azerbaijan,Alfa Romeo Racing,GIO,4,-27.79625,-111.185,HARD,15.25,128.1005,123.257,126.274,-0.21698783377114061
Azerbaijan,Mercedes,HAM,3,-44.73833333333334,-134.215,HARD,29.333333333333332,123.31200000000001,115.98366666666668,126.683,-0.36280599887548115
Azerbaijan,Williams,LAT,2,1035.1754999999998,2070.3509999999997,HARD,24.0,114.357,122.9015,128.706,9.052139353078516
Azerbaijan,Ferrari,LEC,3,-45.410666666666664,-136.232,HARD,29.666666666666668,122.5805,115.81366666666668,123.438,-0.3704558772942406
Azerbaijan,Haas F1 Team,MAZ,6,-35.60216666666667,-213.613,SOFT,11.666666666666666,124.8595,125.6375,133.65066666666667,-0.28513782825228895
Azerbaijan,Haas F1 Team,MSC,5,-3.414999999999998,-17.07499999999999,SOFT,11.4,113.7525,110.532,127.522,-0.030021318212786512
Azerbaijan,McLaren,NOR,3,-44.01266666666667,-132.038,HARD,30.333333333333332,123.44500000000001,116.572,124.045,-0.3565366492500034
Azerbaijan,Alpine,OCO,0,,0.0,SOFT,3.0,130.806,110.85,,
Azerbaijan,Red Bull Racing,PER,3,-44.737,-134.211,HARD,28.333333333333332,123.0625,115.89999999999999,124.379,-0.36353072625698324
Azerbaijan,Alfa Romeo Racing,RAI,3,-43.84866666666667,-131.546,HARD,27.333333333333332,126.7065,118.495,125.079,-0.3460648559203093
Azerbaijan,McLaren,RIC,3,-43.13166666666666,-129.39499999999998,HARD,28.0,126.0185,118.23700000000001,125.143,-0.34226456168472613
Azerbaijan,Williams,RUS,4,-27.112,-108.448,HARD,12.0,132.065,121.959,127.33,-0.20529284821868019
Azerbaijan,Ferrari,SAI,3,-44.16233333333333,-132.487,HARD,29.333333333333332,123.4375,116.52266666666667,144.01,-0.3577708016877637
Azerbaijan,AlphaTauri,TSU,3,-44.94299999999999,-134.82899999999998,HARD,30.666666666666668,123.179,116.08633333333334,125.319,-0.3648592698430738
Azerbaijan,Red Bull Racing,VER,1,19.753,19.753,SOFT,13.0,110.389,107.327,122.951,0.17893993060902808
Azerbaijan,Aston Martin,VET,3,-45.88566666666666,-137.65699999999998,HARD,25.666666666666668,122.00899999999999,115.18900000000001,122.792,-0.37608427793578064
Miami,Alpine,ALO,1,24.771,24.771,MEDIUM,25.0,92.11,88.781,134.49,0.26892845510802305
Miami,Mercedes,BOT,1,24.968,24.968,HARD,26.0,110.032,86.821,,0.2269158063108914
Miami,AlphaTauri,GAS,0,,0.0,HARD,3.0,109.173,89.005,,
Miami,Alfa Romeo Racing,GIO,2,33.8815,67.763,HARD,12.5,112.88999999999999,87.438,129.48499999999999,0.300128443617681
Miami,Mercedes,HAM,0,,0.0,HARD,25.0,90.855,86.586,,
Miami,Alfa Romeo Racing,KUB,1,29.133,29.133,HARD,26.0,118.104,87.614,134.609,0.24667242430400324
Miami,Williams,LAT,1,24.183,24.183,MEDIUM,23.0,92.043,87.688,106.192,0.26273589517942697
Miami,Ferrari,LEC,1,24.919,24.919,MEDIUM,26.0,104.442,87.225,,0.23859175427510007
Miami,Haas F1 Team,MAZ,3,26.90533333333333,80.716,HARD,14.0,106.56400000000001,93.25833333333333,117.596,0.25248051249327474
Miami,Haas F1 Team,MSC,1,24.679,24.679,MEDIUM,23.0,93.142,89.146,107.809,0.264961027248717
Miami,McLaren,NOR,1,24.123,24.123,MEDIUM,24.0,92.641,87.131,106.151,0.2603922669228527
Miami,Alpine,OCO,1,30.349,30.349,MEDIUM,26.0,115.315,87.603,142.102,0.26318345401725707
Miami,Red Bull Racing,PER,1,23.884,23.884,MEDIUM,26.0,105.619,87.273,,0.2261335555155796
Miami,McLaren,RIC,1,23.787,23.787,MEDIUM,22.0,92.063,87.335,105.539,0.2583774154654964
Miami,Williams,RUS,1,24.159,24.159,MEDIUM,26.0,115.947,87.495,135.424,0.20836244146032237
Miami,Ferrari,SAI,1,24.298,24.298,MEDIUM,26.0,109.421,89.071,,0.222059750870491
Miami,Aston Martin,STR,1,24.502,24.502,MEDIUM,27.0,91.605,87.541,134.773,0.2674744828339064
Miami,Red Bull Racing,VER,1,32.475,32.475,MEDIUM,23.0,91.184,87.466,114.069,0.3561480084225303
Miami,Aston Martin,VET,2,25.2345,50.469,HARD,15.0,107.05850000000001,87.309,122.2465,0.23570758043499582
Emilia Romagna,Alpine,ALO,3,473.31166666666667,1419.935,MEDIUM,12.0,109.20150000000001,109.31,115.858,4.3342963848176685
Emilia Romagna,Mercedes,BOT,1,30.148,30.148,INTERMEDIATE,28.0,93.667,88.984,115.306,0.32186362326112716
Emilia Romagna,AlphaTauri,GAS,4,354.67775000000006,1418.7110000000002,MEDIUM,9.5,105.28800000000001,108.75325,121.1585,3.3686436251044753
Emilia Romagna,Alfa Romeo Racing,GIO,4,365.659,1462.636,MEDIUM,12.5,105.166,105.84700000000001,110.443,3.476969743072856
Emilia Romagna,Mercedes,HAM,4,-38.51649999999999,-154.06599999999997,MEDIUM,9.25,90.425,85.0485,113.281,-0.4259496820569532
Emilia Romagna,Ferrari,LEC,2,820.2155,1640.431,INTERMEDIATE,16.5,112.15549999999999,99.696,113.853,7.313199085198676
Emilia Romagna,Haas F1 Team,MAZ,4,362.69525,1450.781,INTERMEDIATE,8.75,105.41199999999999,112.6625,127.05833333333334,3.4407396691078818
Emilia Romagna,Haas F1 Team,MSC,4,377.465,1509.86,INTERMEDIATE,8.75,128.13133333333334,114.46966666666667,141.62666666666667,2.9459226730906307
