Event,Team,PitStopCount,AvgPitDuration
Bahrain,Alfa Romeo,5,26.4464
Bahrain,AlphaTauri,5,25.1182
Bahrain,Alpine,6,31.090666666666667
Bahrain,Aston Martin,4,25.1715
Bahrain,Ferrari,4,24.4255
Bahrain,Haas F1 Team,6,27.811666666666667
Bahrain,McLaren,6,32.60616666666667
Bahrain,Mercedes,4,25.175
Bahrain,Red Bull Racing,4,24.64425
Bahrain,Williams,6,25.11916666666667
Saudi Arabia,Alfa Romeo,5,21.6714
Saudi Arabia,AlphaTauri,2,21.2575
Saudi Arabia,Alpine,2,20.75
Saudi Arabia,Aston Martin,2,24.0075
Saudi Arabia,Ferrari,2,20.406
Saudi Arabia,Haas F1 Team,2,21.2185
Saudi Arabia,McLaren,3,27.384666666666664
Saudi Arabia,Mercedes,2,20.945
Saudi Arabia,Red Bull Racing,2,20.765
Saudi Arabia,Williams,2,21.219
Australia,Alfa Romeo,11,473.43627272727275
Australia,AlphaTauri,8,535.810125
Australia,Alpine,5,727.629
Australia,Aston Martin,6,1215.77
Australia,Ferrari,4,647.6605
Australia,Haas F1 Team,5,706.3636
Australia,McLaren,7,912.2684285714286
Australia,Mercedes,5,703.1886000000001
Australia,Red Bull Racing,8,886.872625
Australia,Williams,6,249.221
Azerbaijan,Alfa Romeo,4,21.6715
Azerbaijan,AlphaTauri,1,20.484
Azerbaijan,Alpine,3,20.598666666666666
Azerbaijan,Aston Martin,2,23.148
Azerbaijan,Ferrari,2,21.46
Azerbaijan,Haas F1 Team,2,27.812
Azerbaijan,McLaren,2,20.664
Azerbaijan,Mercedes,3,20.703
Azerbaijan,Red Bull Racing,2,20.616500000000002
Azerbaijan,Williams,2,21.07
Miami,Alfa Romeo,2,22.992
Miami,AlphaTauri,2,22.922
Miami,Alpine,2,22.195
Miami,Aston Martin,2,22.641
Miami,Ferrari,2,22.164
Miami,Haas F1 Team,2,22.8985
Miami,McLaren,2,23.171
Miami,Mercedes,2,22.258000000000003
Miami,Red Bull Racing,2,22.2965
Miami,Williams,2,35.6715
Emilia Romagna,Alfa Romeo,4,23.914
Emilia Romagna,AlphaTauri,4,22.88625
Emilia Romagna,Alpine,3,24.025666666666666
Emilia Romagna,Aston Martin,3,24.088333333333335
Emilia Romagna,Ferrari,3,23.208333333333332
Emilia Romagna,Haas F1 Team,4,24.20275
Emilia Romagna,McLaren,2,24.367
Emilia Romagna,Mercedes,4,23.281
Emilia Romagna,Red Bull Racing,4,23.07
Emilia Romagna,Williams,6,23.814833333333336
Monaco,Alfa Romeo,3,27.31233333333333
Monaco,AlphaTauri,2,28.914
Monaco,Alpine,4,26.11675
Monaco,Aston Martin,3,-17.296333333333337
Monaco,Ferrari,4,25.7885
Monaco,Haas F1 Team,4,35.987750000000005
Monaco,McLaren,3,27.968
Monaco,Mercedes,3,27.32766666666667
Monaco,Red Bull Racing,6,26.726333333333333
Monaco,Williams,5,25.6806
Spain,Alfa Romeo,4,23.4995
Spain,AlphaTauri,4,22.17175
Spain,Alpine,4,23.30825
Spain,Aston Martin,4,22.70675
Spain,Ferrari,4,22.38625
Spain,Haas F1 Team,6,23.20566666666667
Spain,McLaren,5,25.5496
Spain,Mercedes,4,22.397750000000002
Spain,Red Bull Racing,4,21.93325
Spain,Williams,4,23.4055
Canada,Alfa Romeo,3,25.259666666666664
Canada,AlphaTauri,4,25.01925
Canada,Alpine,4,24.933500000000002
Canada,Aston Martin,4,23.95275
Canada,Ferrari,2,24.2965
Canada,Haas F1 Team,4,24.63625
Canada,McLaren,4,24.4215
Canada,Mercedes,3,45.69166666666666
Canada,Red Bull Racing,4,23.52675
Canada,Williams,1,25.062
Austria,Alfa Romeo,6,22.424000000000003
Austria,AlphaTauri,7,6.310285714285714
Austria,Alpine,6,22.762666666666664
Austria,Aston Martin,7,20.736142857142855
Austria,Ferrari,6,22.01
Austria,Haas F1 Team,5,-25.15
Austria,McLaren,7,21.921714285714284
Austria,Mercedes,6,21.309833333333334
Austria,Red Bull Racing,7,20.145142857142854
Austria,Williams,6,21.397666666666666
Britain,Alfa Romeo,4,30.472
Britain,AlphaTauri,4,28.42525
Britain,Alpine,1,28.5
Britain,Aston Martin,2,28.616500000000002
Britain,Ferrari,3,28.624333333333336
Britain,Haas F1 Team,2,36.007000000000005
Britain,McLaren,2,28.5385
Britain,Mercedes,2,29.326999999999998
Britain,Red Bull Racing,2,28.5545
Britain,Williams,2,29.241500000000002
Hungary,Alfa Romeo,4,24.3785
Hungary,AlphaTauri,4,22.87075
Hungary,Alpine,0,
Hungary,Aston Martin,4,22.835250000000002
Hungary,Ferrari,4,23.32725
Hungary,Haas F1 Team,4,22.4255
Hungary,McLaren,4,21.5505
Hungary,Mercedes,4,21.7965
Hungary,Red Bull Racing,4,21.4525
Hungary,Williams,4,22.50725
Belgium,Alfa Romeo,4,23.914
Belgium,AlphaTauri,4,22.88625
Belgium,Alpine,3,24.025666666666666
Belgium,Aston Martin,3,24.088333333333335
Belgium,Ferrari,3,23.208333333333332
Belgium,Haas F1 Team,4,24.20275
Belgium,McLaren,2,24.367
Belgium,Mercedes,4,23.281
