Event,Team,Driver,PitStopCount,AvgPitDuration,TotalPitDuration,MostFrequentCompound,AvgTyreLife,AvgLapTime
Bahrain,Williams,ALB,3,24.801666666666666,74.405,SOFT,13.333333333333334,105.57833333333333
Bahrain,Aston Martin,ALO,2,25.3125,50.625,HARD,18.5,101.2825
Bahrain,Alfa Romeo,BOT,2,25.476,50.952,HARD,14.5,102.7445
Bahrain,AlphaTauri,DEV,2,25.109,50.218,HARD,13.5,103.8845
Bahrain,Alpine,GAS,3,25.192333333333334,75.577,HARD,13.333333333333334,105.39866666666666
Bahrain,Mercedes,HAM,2,24.663,49.326,HARD,16.5,102.2555
Bahrain,Haas F1 Team,HUL,3,30.311666666666667,90.935,HARD,14.333333333333334,109.46999999999998
Bahrain,Ferrari,LEC,2,24.4605,48.921,HARD,16.5,101.6955
Bahrain,Haas F1 Team,MAG,3,25.311666666666667,75.935,HARD,13.333333333333334,108.22500000000001
Bahrain,McLaren,NOR,6,32.60616666666667,195.637,SOFT,10.166666666666666,101.069
Bahrain,Alpine,OCO,3,36.989000000000004,110.96700000000001,HARD,11.75,103.1575
Bahrain,Red Bull Racing,PER,2,24.6715,49.343,SOFT,19.5,101.023
Bahrain,McLaren,PIA,0,,0.0,SOFT,13.0,122.071
Bahrain,Mercedes,RUS,2,25.687,51.374,HARD,17.0,102.863
Bahrain,Ferrari,SAI,2,24.3905,48.781,HARD,17.0,102.292
Bahrain,Williams,SAR,3,25.436666666666667,76.31,SOFT,13.333333333333334,106.68066666666668
Bahrain,Aston Martin,STR,2,25.0305,50.061,HARD,16.5,102.154
Bahrain,AlphaTauri,TSU,3,25.124333333333336,75.373,HARD,13.333333333333334,105.44200000000001
Bahrain,Red Bull Racing,VER,2,24.617,49.234,SOFT,19.5,101.12950000000001
Bahrain,Alfa Romeo,ZHO,3,27.093333333333334,81.28,SOFT,19.0,102.64433333333334
Saudi Arabia,Williams,ALB,1,21.375,21.375,HARD,13.5,104.635
Saudi Arabia,Aston Martin,ALO,1,26.859,26.859,MEDIUM,18.0,129.623
Saudi Arabia,Alfa Romeo,BOT,3,21.801333333333332,65.404,MEDIUM,11.666666666666666,105.80400000000002
Saudi Arabia,AlphaTauri,DEV,1,21.109,21.109,MEDIUM,17.0,109.322
Saudi Arabia,Alpine,GAS,1,20.703,20.703,MEDIUM,14.0,98.551
Saudi Arabia,Mercedes,HAM,1,21.062,21.062,HARD,18.0,136.76
Saudi Arabia,Haas F1 Team,HUL,1,21.515,21.515,MEDIUM,11.0,99.066
Saudi Arabia,Ferrari,LEC,1,20.062,20.062,SOFT,16.0,97.681
Saudi Arabia,Haas F1 Team,MAG,1,20.922,20.922,MEDIUM,8.0,99.187
Saudi Arabia,McLaren,NOR,2,25.381999999999998,50.763999999999996,HARD,9.5,111.779
Saudi Arabia,Alpine,OCO,1,20.797,20.797,MEDIUM,16.0,98.567
Saudi Arabia,Red Bull Racing,PER,1,20.671,20.671,MEDIUM,18.0,127.357
Saudi Arabia,McLaren,PIA,1,31.39,31.39,MEDIUM,1.0,107.254
Saudi Arabia,Mercedes,RUS,1,20.828,20.828,MEDIUM,18.0,132.217
Saudi Arabia,Ferrari,SAI,1,20.75,20.75,MEDIUM,15.0,97.523
Saudi Arabia,Williams,SAR,1,21.063,21.063,HARD,18.0,136.225
Saudi Arabia,Aston Martin,STR,1,21.156,21.156,MEDIUM,13.0,98.543
Saudi Arabia,AlphaTauri,TSU,1,21.406,21.406,MEDIUM,17.0,102.41
Saudi Arabia,Red Bull Racing,VER,1,20.859,20.859,MEDIUM,18.0,134.348
Saudi Arabia,Alfa Romeo,ZHO,2,21.4765,42.953,HARD,9.0,118.47999999999999
Australia,Aston Martin,ALO,3,1215.4813333333334,3646.444,HARD,20.666666666666668,
Australia,Alfa Romeo,BOT,6,413.1176666666667,2478.706,SOFT,11.166666666666666,123.8995
Australia,AlphaTauri,DEV,4,395.71425,1582.857,SOFT,14.75,98.544
Australia,Alpine,GAS,2,901.107,1802.214,HARD,27.5,
Australia,Mercedes,HAM,3,1218.741,3656.223,HARD,20.333333333333332,144.44
Australia,Haas F1 Team,HUL,3,1225.3293333333334,3675.9880000000003,HARD,20.333333333333332,
Australia,Haas F1 Team,MAG,2,-72.085,-144.17,HARD,4.0,117.79
Australia,McLaren,NOR,3,1226.6053333333332,3679.816,HARD,19.0,
Australia,Alpine,OCO,3,611.977,1835.931,HARD,20.666666666666668,122.304
Australia,Red Bull Racing,PER,5,689.1360000000001,3445.6800000000003,HARD,11.6,131.9425
Australia,McLaren,PIA,4,676.51575,2706.063,SOFT,14.25,122.932
Australia,Mercedes,RUS,2,-70.13999999999999,-140.27999999999997,HARD,4.0,107.537
Australia,Ferrari,SAI,4,647.6605,2590.642,HARD,15.5,108.202
Australia,Williams,SAR,6,249.221,1495.326,HARD,10.5,121.289
Australia,Aston Martin,STR,3,1216.0586666666666,3648.176,HARD,21.0,
Australia,AlphaTauri,TSU,4,675.906,2703.624,SOFT,15.25,123.458
Australia,Red Bull Racing,VER,3,1216.4336666666666,3649.301,HARD,20.0,
Australia,Alfa Romeo,ZHO,5,545.8186,2729.093,SOFT,12.8,130.212
Azerbaijan,Williams,ALB,1,21.078,21.078,MEDIUM,7.0,112.993
