Event,Team,Driver,PitStopCount,AvgPitDuration,TotalPitDuration,MostFrequentCompound,AvgTyreLife,AvgLapTime,AvgPrevLapTime,AvgNextLapTime,PitStopLapTimeRatio
Bahrain,Williams,ALB,2,24.7305,49.461,HARD,18.0,100.75200000000001,98.372,118.4865,0.24545914721295853
Bahrain,Aston Martin,ALO,2,24.9615,49.923,HARD,22.0,100.681,98.3365,117.8565,0.2479266197197088
Bahrain,Kick Sauber,BOT,2,50.7585,101.517,HARD,15.0,102.1985,98.9205,121.081,0.4966658023356507
Bahrain,Alpine,GAS,3,27.14833333333333,81.445,HARD,14.333333333333334,100.39299999999999,98.03966666666668,120.27199999999999,0.27042058045215633
Bahrain,Mercedes,HAM,2,24.5915,49.183,HARD,18.0,100.29249999999999,97.7805,116.8095,0.24519779644539724
Bahrain,Haas F1 Team,HUL,3,28.503,85.509,HARD,13.666666666666666,104.64066666666668,97.475,121.906,0.27238931963991053
Bahrain,Ferrari,LEC,2,24.0645,48.129,HARD,18.5,100.6755,97.3125,116.8185,0.2390303499858456
Bahrain,Haas F1 Team,MAG,2,25.226999999999997,50.45399999999999,HARD,16.0,100.8265,98.3735,118.1685,0.2502020798103673
Bahrain,McLaren,NOR,2,24.455,48.91,HARD,18.0,100.13050000000001,97.6265,117.334,0.2442312781819725
Bahrain,Alpine,OCO,2,24.9105,49.821,HARD,15.0,101.42599999999999,98.934,119.168,0.24560270542070084
Bahrain,Red Bull Racing,PER,2,24.458,48.916,HARD,19.5,99.821,97.306,116.71600000000001,0.24501858326404263
Bahrain,McLaren,PIA,2,25.105,50.21,HARD,18.5,99.975,97.7425,119.196,0.25111277819454864
Bahrain,RB,RIC,2,24.68,49.36,HARD,19.0,101.384,98.5695,118.20150000000001,0.2434309161208869
Bahrain,Mercedes,RUS,2,24.857999999999997,49.715999999999994,HARD,17.0,99.96000000000001,97.48400000000001,117.86349999999999,0.24867947178871544
Bahrain,Ferrari,SAI,2,24.232999999999997,48.465999999999994,HARD,19.0,99.5135,96.89699999999999,116.4225,0.24351469901068698
Bahrain,Williams,SAR,3,28.765666666666664,86.297,HARD,13.333333333333334,100.17599999999999,98.22333333333334,124.767,0.28715128041313953
Bahrain,Aston Martin,STR,2,24.387,48.774,HARD,13.5,101.411,98.495,117.22749999999999,0.24047687134531756
Bahrain,RB,TSU,2,24.6355,49.271,HARD,17.0,100.9865,98.179,118.5025,0.24394844855500486
