Season,Event,Team,Driver,PitStopCount,AvgPitDuration,TotalPitDuration,MostFrequentCompound,AvgTyreLife,AvgLapTime,AvgPrevLapTime,AvgNextLapTime,PitStopLapTimeRatio
2021,Abu Dhabi,Alpine,ALO,1,21.427,21.427,HARD,37.0,117.817,90.285,116.24,0.1818667934169092
2021,Abu Dhabi,Mercedes,BOT,1,21.726,21.726,MEDIUM,35.0,90.944,89.204,110.242,0.2388942646023926
2021,Abu Dhabi,AlphaTauri,GAS,2,22.0295,44.059,HARD,28.5,112.5195,102.981,118.5495,0.1957838419118464
2021,Abu Dhabi,Alfa Romeo Racing,GIO,1,22.26,22.26,MEDIUM,17.0,92.432,90.682,111.395,0.2408256880733945
2021,Abu Dhabi,Mercedes,HAM,1,21.616,21.616,MEDIUM,17.0,90.253,88.258,108.755,0.239504504005407
2021,Abu Dhabi,Williams,LAT,1,21.264,21.264,MEDIUM,28.0,94.166,92.497,109.78,0.2258139880636323
2021,Abu Dhabi,Ferrari,LEC,2,21.7775,43.555,HARD,19.0,95.2195,91.05,119.753,0.2287084053161379
2021,Abu Dhabi,Haas F1 Team,MSC,2,22.0855,44.171,HARD,26.0,104.99,91.1845,121.033,0.2103581293456519
2021,Abu Dhabi,McLaren,NOR,2,21.777,43.554,HARD,25.5,91.1235,89.0295,109.095,0.2389833577507448
2021,Abu Dhabi,Alpine,OCO,1,21.685,21.685,SOFT,18.0,93.316,91.166,109.514,0.2323824424535985
2021,Abu Dhabi,Red Bull Racing,PER,3,21.407666666666668,64.223,HARD,15.25,113.517,98.80125,118.455,0.1885855569356719
2021,Abu Dhabi,Alfa Romeo Racing,RAI,1,22.42,22.42,HARD,12.5,118.434,91.2085,110.722,0.1893037472347468
2021,Abu Dhabi,McLaren,RIC,2,21.849,43.698,HARD,27.5,98.3835,89.785,123.239,0.2220799219381298
2021,Abu Dhabi,Williams,RUS,0,,0.0,MEDIUM,26.0,,92.794,,
2021,Abu Dhabi,Ferrari,SAI,1,22.2,22.2,SOFT,22.0,92.384,90.907,110.428,0.2403013508832698
